"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","test_add_and_borrow_new_book","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_integration","",""
"","1","test_return_book_not_borrowed","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_integration","",""
"","0","test_add_book","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_libary","",""
"","1","test_get_users_with_wrong_url_suffix","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestUserAPI","test_for_users","",""
"","2","test_delete_non_exist_book","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_get_books","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_libary","",""
"","5","test_update_book_information","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_integration","",""
"","4","test_delete_borrowed_book","tests","Wed Mar 12 07:43:47 GMT 2025","failed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_integration","",""
"","4","test_borrow_already_borrowed_book","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_integration","",""
"","2","test_borrow_book","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_get_users_number","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestUserAPI","test_for_users","",""
"","5","test_sanity_check","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestsBookAPI","test_for_libary","",""
"","3","test_delete_book","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_books_details","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_update_non_exist_book","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_libary","",""
"","0","test_add_and_delete_new_book","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_return_book","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestsBookAPI","test_for_libary","",""
"","1","test_get_users_list","tests","Wed Mar 12 07:43:48 GMT 2025","passed","Wed Mar 12 07:43:48 GMT 2025","TestUserAPI","test_for_users","",""
"","3","test_update_book","tests","Wed Mar 12 07:43:47 GMT 2025","passed","Wed Mar 12 07:43:47 GMT 2025","TestsBookAPI","test_for_libary","",""
